id,year,assets,capex,ltd,ebitda,ppe,sales,ads,rd,bookval,mv,tobinsQ,indclass,icdiv,division,hpw
1050,1994,7.231,0.156,1.399,1.297,3.101,10.327,0.072,0.044,3.17,11.42,3.602523659,21,4,Manufacture,34.54628782
1050,1995,8.645,0.168,1.253,0.486,3.289,8.435,0.139,0.017,4.36,20.88,4.788990826,21,4,Manufacture,34.87809506
1050,1996,9.201,0.079,1.142,1.135,3.36,9.848,0.131,0.117,5.11,14.4,2.818003914,21,4,Manufacture,41.23844192
1050,1997,13.961,0.21,1.737,0.86,3.701,14.531,0.117,0.092,6.74,24.4,3.620178042,21,4,Manufacture,33.06100652
1050,1998,15.475,0.241,1.57,1.755,4.035,26.382,0.158,0.097,7.56,24.75,3.273809524,21,4,Manufacture,33.07263118
1050,1999,51.073,0.165,28.29,1.171,16.542,23.862,0.087,0.033,9.04,20.63,2.282079646,21,4,Manufacture,39.90888769
1050,2002,46.677,0.24,16.202,3.455,17.608,78.877,0.153,0.033,12.89,17.74,1.376260667,21,4,Manufacture,41.92083221
1050,2003,41.154,0.112,13.388,2.556,16.003,68.159,0.171,0.028,10.45,16.48,1.577033493,21,4,Manufacture,32.44793011
1050,2004,43.441,0.472,11.894,2.338,16.475,69.366,0.12,0.016,9.71,34.38,3.540679712,21,4,Manufacture,40.66840856
1050,2005,42.9,0.661,12.847,4.704,16.887,81.521,0.157,0.01,9.93,57.36,5.776435045,21,4,Manufacture,46.09762119
1050,2006,63.188,0.898,14.872,7.276,17.701,135.359,0.283,0,17.45,103.02,5.903724928,21,4,Manufacture,44.0475917
1050,2007,96.535,1.692,4.429,14.214,19.554,235.953,0.638,0.012,43.61,162.38,3.723457922,21,4,Manufacture,43.85126643
1050,2008,120.017,2.249,25.2,11.371,24.11,217.89,0.985,0.05,46.82,34.66,0.740281931,21,4,Manufacture,47.79371196
1050,2009,77.515,0.999,12.671,3.799,25.087,138.985,0.606,0.022,31.76,56.44,1.777078086,21,4,Manufacture,37.79861819
1050,2010,74.791,0.654,10.8,6.398,17.972,140.602,0.324,0.053,35.17,85.34,2.426499858,21,4,Manufacture,66.10543967
12262,2001,400.691,36.059,127.285,26.628,193.207,455.839,4.447,7.448,206.39,283.46,1.373419255,21,4,Manufacture,42.19523559
12262,2002,416.503,33.979,130.645,18.963,206.59,480.59,4.663,7.631,202.65,195.39,0.964174685,21,4,Manufacture,43.21041657
12262,2003,320.956,3.588,38.696,8.061,192.204,426.613,3.506,8.308,170.41,242.78,1.42468165,21,4,Manufacture,39.06827631
12262,2004,324.818,11.168,25.857,33.78,188.063,504.554,2.474,8.58,198.69,343.99,1.731289949,21,4,Manufacture,52.10517194
12262,2005,346.583,11.63,0,50.58,197.316,616.068,2.69,11.319,247.39,691.64,2.795747605,21,4,Manufacture,49.89420373
12262,2006,421.863,30.879,0,72.086,224.435,710.607,2.785,13.561,302.5,761.53,2.517454545,21,4,Manufacture,46.90579816
12262,2007,542.57,38.451,0,101.66,264.216,869.025,3.334,15.449,384.95,829.3,2.154305754,21,4,Manufacture,50.58024939
12262,2008,612.812,39.932,0,109.505,304.747,973.7,3.603,18.921,452.29,705.18,1.559132415,21,4,Manufacture,48.40046862
12262,2009,590.901,17.463,0,45.388,325.016,738.094,3.002,18.029,466.88,607.52,1.301233722,21,4,Manufacture,46.54780586
12262,2010,649.639,11.336,0,66.044,338.197,771.335,3.056,17.482,504.86,733.99,1.453848592,21,4,Manufacture,59.43684948
12262,2011,716.883,36.13,0,81.292,372.334,955.729,3.583,22.422,544.56,731.55,1.34337814,21,4,Manufacture,50.39890534
12262,2012,724.565,26.018,0,72.896,375.004,936.273,4.223,20.52,561.22,760.57,1.355208296,21,4,Manufacture,54.65939386
12262,2013,749.291,27.673,0,77.713,392.506,932.998,3.77,18.101,594.33,883.04,1.485773897,21,4,Manufacture,46.71231108
12262,2014,805.465,24.851,7.061,75.775,409.611,975.595,3.657,22.129,612,901.38,1.472843137,21,4,Manufacture,56.22982922
7281,2010,108.046,1.666,3.012,10.795,44.962,88.865,0.988,2.242,84.6,165.26,1.953427896,21,4,Manufacture,49.41103078
7281,2011,115.509,2.097,2.688,12.805,45.801,100.161,1.258,2.513,89.78,132.09,1.471263088,21,4,Manufacture,54.84878769
30584,1995,6.322,0.428,0.656,0.787,1.799,8.245,0.101,0.081,5.08,20.25,3.986220472,21,4,Manufacture,34.94264541
30584,1996,13.41,0.232,5.697,1.538,2.022,12.266,0.201,0.171,6.29,89.4,14.21303657,21,4,Manufacture,24.27020415
30584,1997,19.215,1.079,7.021,3.975,4.378,24.316,0.321,0.217,9.96,145.35,14.59337349,21,4,Manufacture,30.9095025
30584,1998,29.533,0.564,2.465,6.046,5.438,39.019,0.416,0.319,19.52,153.76,7.87704918,21,4,Manufacture,40.89250483
30584,1999,48.65,0.612,2.197,2.607,6.05,36.168,0.423,0.531,39.1,131.97,3.375191816,21,4,Manufacture,42.97475951
