"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID","Density"
10.292,"A",0.38422596,0,27.42,2000,1,14,"2000/1",656.1583058,6043.91232,"20000114.t1",0
9.992,"A",0.956,0,27.59,2000,1,14,"2000/1",656.1259999,6044.263608,"20000114.t1",0
9.537,"A",0.956,0,28.52,2000,1,14,"2000/1",656.149016,6044.763339,"20000114.t1",0
9.097,"A",0.956,0,28.05,2000,1,14,"2000/1",656.1517251,6045.26348,"20000114.t1",0
8.686,"A",0.956,0,27.6,2000,1,14,"2000/1",656.1103687,6045.763437,"20000114.t1",0
8.244,"A",0.956,0,27.34,2000,1,14,"2000/1",656.141806,6046.263273,"20000114.t1",0
7.811,"A",0.956,0,26.69,2000,1,14,"2000/1",656.1622716,6046.763183,"20000114.t1",0
7.412,"A",0.956,0,25.72,2000,1,14,"2000/1",656.1390033,6047.263226,"20000114.t1",0
7.014,"A",0.956,0,24.39,2000,1,14,"2000/1",656.1359663,6047.763283,"20000114.t1",0
6.611,"A",0.956,0,22.23,2000,1,14,"2000/1",656.1484476,6048.263222,"20000114.t1",0
6.177,"A",0.956,0,21.45,2000,1,14,"2000/1",656.1432101,6048.763361,"20000114.t1",0
5.728,"A",0.956,0,19.16,2000,1,14,"2000/1",656.1745897,6049.262902,"20000114.t1",0
5.3,"A",0.956,0,16.99,2000,1,14,"2000/1",656.1749212,6049.763149,"20000114.t1",0
4.875,"A",0.956,0,14.63,2000,1,14,"2000/1",656.1867813,6050.264549,"20000114.t1",0
4.479,"A",0.956,0,12.42,2000,1,14,"2000/1",656.1447501,6050.764323,"20000114.t1",0
4.076,"A",0.956,0,12.53,2000,1,14,"2000/1",656.0692114,6051.259519,"20000114.t1",0
3.669,"A",0.956,0,11.41,2000,1,14,"2000/1",656.0340651,6051.76076,"20000114.t1",0
3.362,"A",0.956,0,10.37,2000,1,14,"2000/1",655.8895529,6052.24312,"20000114.t1",0
3.058,"A",0.956,0,10.14,2000,1,14,"2000/1",655.7860973,6052.732673,"20000114.t1",0
2.742,"A",0.956,0,9.91,2000,1,14,"2000/1",655.6769002,6053.224351,"20000114.t1",0
2.324,"A",0.956,0,8.76,2000,1,14,"2000/1",655.6754825,6053.728119,"20000114.t1",0
1.939,"A",0.956,0,7.69,2000,1,14,"2000/1",655.6587223,6054.228432,"20000114.t1",0
1.589,"A",0.956,0,6.8,2000,1,14,"2000/1",655.6420131,6054.729728,"20000114.t1",0
1.179,"A",0.956,0,5.27,2000,1,14,"2000/1",655.6646946,6055.231347,"20000114.t1",0
0.74,"A",0.956,0,4.64,2000,1,14,"2000/1",655.7393735,6055.727257,"20000114.t1",0
0.318,"A",0.956,0,2.71,2000,1,14,"2000/1",655.8202937,6056.22107,"20000114.t1",0
0.172,"A",0.624333008,0,1.58,2000,1,14,"2000/1",658.1839397,6054.570227,"20000114.t2",0
0.527,"A",0.956,0,4.57,2000,1,14,"2000/1",658.2162119,6054.158177,"20000114.t2",0
0.905,"A",0.956,0,5.18,2000,1,14,"2000/1",658.2667937,6053.660362,"20000114.t2",0
1.295,"A",0.956,0,5.73,2000,1,14,"2000/1",658.2951951,6053.160913,"20000114.t2",0
1.71,"A",0.956,0,7.03,2000,1,14,"2000/1",658.3250245,6052.660879,"20000114.t2",0
2.163,"A",0.956,0,8.47,2000,1,14,"2000/1",658.3260201,6052.159404,"20000114.t2",0
2.635,"A",0.956,0,8.59,2000,1,14,"2000/1",658.2729187,6051.660915,"20000114.t2",0
3.044,"A",0.956,0,8.47,2000,1,14,"2000/1",658.2321481,6051.162393,"20000114.t2",0
3.468,"A",0.956,0,10.08,2000,1,14,"2000/1",658.1797145,6050.664919,"20000114.t2",0
3.916,"A",0.956,0,11.3,2000,1,14,"2000/1",658.0853077,6050.172314,"20000114.t2",0
4.376,"A",0.956,0,11.57,2000,1,14,"2000/1",657.988351,6049.674374,"20000114.t2",0
4.758,"A",0.956,0,15.54,2000,1,14,"2000/1",658.0674339,6049.171973,"20000114.t2",0
5.177,"A",0.956,0,17.51,2000,1,14,"2000/1",658.0873597,6048.672212,"20000114.t2",0
