Year,Month,Day,Locationorig,Location,Sex,FinalML,WL,EL,LRL beak,Capture
1639,Autumn,,Iceland Nordresyssel Thingoresand,North Atlantic,NK,NA,NA,NA,,Stranded
1661 or 1662 (Packard 1873),,,Netherlands,North Atlantic,NK,NA,NA,NA,,Stranded
1673,October,15,Dingle-I-Cosh. Ireland,North Atlantic,NK,NA,NA,NA,,Stranded
1680,,,Alstadhoug,North Atlantic,NK,NA,NA,NA,,NK
1700s,,,Canada. Newfoundland. Grandbanks,North Atlantic,NK,NA,NA,NA,,NK
1770,,,Denmark. Jutland,North Atlantic,NK,NA,NA,NA,,NK
1785,May,27,Canada. Newfoundland Grandbanks,North Atlantic,NK,2.1336,NA,NA,,Floating
1790,Nov or Dec,,Arnarnaesvik. Modruvalle. Iceland,North Atlantic,NK,NA,NA,11.8872,,Stranded
Before 1795,,,Canada. Newfoundland. Nr St Johns harbour,North Atlantic,NK,NA,NA,NA,,NK
1798,,,Denmark,North Atlantic,NK,NA,NA,NA,,NK
1802,,,Off Tasmania,NK,NK,NA,NA,NA,,NK
1817,,,Atlantic Ocean,South Atlantic,NK,NA,NA,NA,,Floating
1853,December,,Skaggerak. MN. Jutland,North Atlantic,NK,NA,NA,NA,,Stranded
1855,November,5,Bahamas 31N 76 W,North Atlantic,Male,NA,3.77,,,NK
1855,December,,Denmark. Aalbaekbugten,North Atlantic,NK,NA,NA,NA,,Stranded
1860,,,Shetland Islands. between Hillswick and Scalloway,North Atlantic,NK,NA,NA,NA,,Stranded
1861,November,30,Canary Islands. Teneriffe 20 miles NE,North Atlantic,NK,NA,NA,NA,,Captured
1862,,,North Atlantic,North Atlantic,NK,NA,NA,NA,,NK
1870,September,,New Zealand. east coast of Wellington. Waimarama,South Pacific,NK,NA,4.8514,,,Stranded
1871check,Winter,,Canada. Newfoundland. Lamalein,North Atlantic,NK,NA,NA,NA,,Stranded
1871,October,c. 20,Grand Banks,North Atlantic,NK,NA,NA,NA,,Floating
1871check,Winter,,Canada. Newfoundland. Lamalien,North Atlantic,NK,NA,NA,14.3256,,Stranded
1871,,,New Zealand. Wellington,South Pacific,NK,NA,NA,NA,,Stranded
1872,Autumn/Winter,,Canada. Newfoundland. Coombs Cove,North Atlantic,NK,,4.8768,15.8496,,Floating
1872,December,,Canada. Newfoundland. Bonavista Bay,North Atlantic,Female,NA,NA,9.7536,,Stranded
1872,December,,Canada. Newfoundland. Bonavista Bay,North Atlantic,NK,NA,NA,NA,,NK
before 1873,,,Iceland,North Atlantic,NK,NA,NA,NA,,NK
1873,,,Yedo (Tokyo) fishmarket,North Pacific,NK,1.8542,4.14,6,,Captured
1873,October,26,Newfoundland. Conception Bay. Portugal Cove,North Atlantic,NK,NA,NA,NA,,Floating
1873,November,25,Canada. Newfoundland. Logy Bay,North Atlantic,Male,2.1336,NA,NA,,Captured
Before or during 1874,,,South American COAST,NK,NK,NA,NA,NA,,NK
1874,,,Norway. Foldenfjord,North Atlantic,NK,NA,4,,,NK
1874,November,2,St Pauls Island. Indian Ocean,Indian Ocean,NK,NA,NA,NA,,NK
1874,November,2,Indian Ocean. Reunion Island. Saint Paul.,Indian Ocean,NK,NA,NA,7.15,,Stranded
1874,December,,Canada. Newfoundland. Fortune bay Grand bank,North Atlantic,NK,NA,NA,12.954,,Stranded
1874/1875 Winter,,,Canada. Newfoundland. Nr Harbor Grace,North Atlantic,NK,NA,NA,NA,,Stranded
1875,April ,25,Boffin Island Connemara. Ireland,North Atlantic,NK,NA,NA,NA,,Captured
Before 1875,,,North Atlantic,North Atlantic,NK,NA,NA,NA,,In whale
Before or in 1875,,,Canada. Newfoundland. Straights of Belle Isle. West St Modent. On Labrador side,North Atlantic,NK,NA,NA,15.8496,,Floating
Beforte 1875,,,Boffin Island Connemara. Ireland,North Atlantic,NK,NA,NA,NA,,NK
1875,October,,Grand Banks. 44 - 44 30N 49 30 to 49 50 W,North Atlantic,NK,NA,NA,NA,,Floating
1876,,,New Zealand. Cape Campbell. Clifford Bay.,South Pacific,NK,2.1336,NA,NA,0.0183,Stranded
1876,November,20,Canada. Newfoundland. Notre Dam Bay. Hammer Cove,North Atlantic,NK,NA,NA,NA,,Stranded
1877,September,24,Canada. Newfoundland. Trinity Bay. Catalina,North Atlantic,NK,NA,6.25,12.0396,0.095,Stranded
1877,October,,Canada. Newfoundland. Trinity Bay,North Atlantic,NK,NA,NA,NA,,NK
1877,November,21,Canada. Newfoundland. Trinity Bay. Lance Cove,North Atlantic,NK,NA,NA,13.4112,,Stranded
?1877,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1878,November,2,Canada. Newfoundland. Notre Dam Bay. Thimble Tickle,North Atlantic,NK,NA,NA,16.764,,Stranded
1878,December,2,Canada. Newfoundland. Notre Dam Bay. Three Arms,North Atlantic,NK,NA,9.4488,,,Stranded
1879,,,Canada. off Nova Scotia. 42deg 49 min N. 62 deg 57 W,North Atlantic,NK,NA,NA,NA,,In predator
1879,May,23,New Zealand. Cook Strait. Lyall Bay.,South Pacific,NK,2.794,4.6736,,,Stranded
1879,October,,Canada. Newfoundland. Conception Bay,North Atlantic,NK,NA,NA,NA,,NK
1879,November,1,Canada. Newfoundland. Bonavista Bay. James Cove,North Atlantic,NK,NA,,11.5824,,Floating
1880,April ,,Canada. Newfoundland. Grand Banks ,North Atlantic,NK,NA,NA,NA,,Floating
1880,June,6,New Zealand. Cook Strait. Island Bay.,South Pacific,NK,2.286,5.9436,10.3886,,Stranded
Before 1880,,,New Zealand. Nelson. near Boulder Bank.,South Pacific,NK,NA,NA,NA,,NK
Before 1880,,,New Zealand. east coast. near Flat Point.,South Pacific,NK,NA,NA,NA,,NK
1880,October,,County Clare. Ireland,North Atlantic,NK,NA,NA,NA,,Stranded
c. 1880,,,Kvaenangen. Norway,North Atlantic,NK,NA,NA,NA,,NK
c. 1880,,,Tromsoysund. Tonsvik,North Atlantic,NK,NA,NA,NA,,NK
1881,November,10,Canada. Newfoundland. Portugal Cove,North Atlantic,NK,1.267968,NA,8.5344,,Floating
1886,June,30,New Zealand. Cape Campbell,South Pacific,NK,2.5146,5.0292,8.7884,,Stranded
1887 possibly 1880 according to F”rch 1998 but Kirk is categorical,October,Early,New Zealand. Lyall Bay,South Pacific,NK,1.8034,NA,16.8148,0.017,Stranded
1888,August,27,Between Pico and St George. Azores,North Atlantic,NK,NA,NA,NA,,Captured
1889,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
Before 1892,,,Sao Miguel. Azores,North Atlantic,NK,NA,NA,NA,,Stranded
1892,,,Greenland,North Atlantic,NK,NA,NA,NA,,NK
1895,Febraury,4,Bay of Tateyama. Awa Province. Japan,North Pacific,Female,0.72,NA,3.8,0.01,Captured
1895,July,18,Off Angra. Azores,North Atlantic,Male,0.46,NA,NA,,In whale
1896,April,10,Hevnefjord. Kirkseteroren. Norway,North Atlantic,Female,2.5,NA,NA,,Stranded
1896,September,27,Hevnefjord. Kirkseteroren. Norway,North Atlantic,Male,NA,NA,NA,,NK
Before 1898,,,Iceland,North Atlantic,NK,NA,NA,NA,,NK
1898,,,North of Bhamas,North Atlantic,NK,NA,NA,NA,,NK
Before or in 1899,,,US. Gulf of Mexico,North Atlantic,Male,0.61,NA,NA,,Floating
1902,,,North of Faeroes,North Atlantic,NK,0.63,NA,2.9,,Floating
1903,August,15,Mjofjord. Iceland,North Atlantic,NK,NA,NA,NA,,NK
1906,July,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1907,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1908,,,San Francisco. California. USA,North Pacific,NK,NA,NA,NA,,NK
1909,March,,Off Highland Light. Truro. Massachusetts,North Atlantic,NK,NA,5.03,,,Floating
1909,July,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1910,September,,off County Mayo,North Atlantic,NK,NA,NA,NA,,NK
1910/1911,Autumn,,Lundenes. Grytoy. Senjen. Norway,North Atlantic,NK,NA,1.2,,,NK
1911,June,,Monterey Bay,North Pacific,NK,NA,NA,NA,,Floating
1912,,,Japan,North Pacific,NK,NA,NA,NA,,NK
1912,February,,Smola. Veiolmen. Norway,North Atlantic,NK,1.9,NA,8.6,,Floating
1912,October,12,,North Pacific,NK,NA,NA,NA,,NK
1913,June-September,,Belmullet. Ireland,North Atlantic,NK,1.8288,NA,6.788883413,,In whale
1915,November,22,Bergen. Austreim. Ler›y,North Atlantic,Female,1.31,3.335,7.155,0.0158,Stranded
1916,March,17,Norway. west og Hevenfjord. Hellandsjo,North Atlantic,NK,NA,NA,NA,,NK
1916,November,,Helgoland. Atlantic Ocean,North Atlantic,NK,NA,NA,NA,,NK
1917,October or Nov,29 or 2,Skateraw.Berwickshire. Scotland,North Atlantic,NK,NA,NA,5.969,,Stranded
1918,,,Kilkeel. Ireland,North Atlantic,NK,NA,NA,NA,,Stranded
1918,January ,10,off Awa Province Japan,North Pacific,Male,1.1,NA,NA,,Captured
1919,November,,Off Nordland. Norway,North Atlantic,NK,NA,NA,NA,,NK
1920,Feb,,North Uist. Hebrides,North Atlantic,NK,NA,NA,NA,,Stranded
